league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Challenger Series (Alemania);1;g_25_MguQCxnQ;Finalizado;2021-02-08 00:00:00;Bluhm F. (Ger);Klein D. (Ger);3;0;[{'home': 12, 'away': 10}, {'home': 11, 'away': 5}, {'home': 11, 'away': 5}];;
Challenger Series (Alemania);1;g_25_SzIh8dfs;Finalizado;2021-02-08 00:00:00;Cheaib D. (Leb);Huzjak J. (Cro);3;0;[{'home': 11, 'away': 9}, {'home': 11, 'away': 8}, {'home': 11, 'away': 3}];;
Challenger Series (Alemania);1;g_25_vBLd7G9m;Finalizado;2021-02-08 00:00:00;Berglund S. (Swe);Martinko J. (Cze);2;3;[{'home': 6, 'away': 11}, {'home': 6, 'away': 11}, {'home': 12, 'away': 10}, {'home': 11, 'away': 6}, {'home': 6, 'away': 11}];;
Challenger Series (Alemania);1;g_25_YXK06zPg;Finalizado;2021-02-08 00:00:00;Kuzmin F. (Rus);Gonzalez E. (Ger);3;2;[{'home': 12, 'away': 10}, {'home': 11, 'away': 5}, {'home': 5, 'away': 11}, {'home': 9, 'away': 11}, {'home': 11, 'away': 6}];;
Challenger Series (Alemania);1;g_25_COJ45fv0;Finalizado;2021-02-08 00:00:00;Bluhm F. (Ger);Cheaib D. (Leb);1;3;[{'home': 4, 'away': 11}, {'home': 9, 'away': 11}, {'home': 11, 'away': 8}, {'home': 7, 'away': 11}];;
Challenger Series (Alemania);1;g_25_UaE94Eg6;Finalizado;2021-02-08 00:00:00;Berglund S. (Swe);Huzjak J. (Cro);3;0;[{'home': 11, 'away': 4}, {'home': 11, 'away': 6}, {'home': 11, 'away': 6}];;
Challenger Series (Alemania);1;g_25_8jDD3Y8C;Finalizado;2021-02-08 00:00:00;Kuzmin F. (Rus);Martinko J. (Cze);3;2;[{'home': 11, 'away': 6}, {'home': 8, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 4}, {'home': 11, 'away': 7}];;
Challenger Series (Alemania);1;g_25_2DCH2hOI;Finalizado;2021-02-08 00:00:00;Gonzalez E. (Ger);Klein D. (Ger);1;3;[{'home': 11, 'away': 8}, {'home': 1, 'away': 11}, {'home': 2, 'away': 11}, {'home': 9, 'away': 11}];;
Challenger Series (Alemania);1;g_25_EkuooQho;Finalizado;2021-02-08 00:00:00;Bluhm F. (Ger);Berglund S. (Swe);2;3;[{'home': 9, 'away': 11}, {'home': 11, 'away': 9}, {'home': 10, 'away': 12}, {'home': 11, 'away': 7}, {'home': 5, 'away': 11}];;
Challenger Series (Alemania);1;g_25_IN5RgIdo;Finalizado;2021-02-08 08:30:00;Cheaib D. (Leb);Klein D. (Ger);3;1;[{'home': 11, 'away': 8}, {'home': 11, 'away': 8}, {'home': 6, 'away': 11}, {'home': 11, 'away': 7}];;
